j,t,Girls,Boys,Women,Men
30203048426,2004,2,2,1,1
30203048444,2004,0,0,2,2
30203062004,2004,0,0,1,1
30203062005,2004,2,2,1,1
30203062015,2004,2,2,1,1
30203062023,2004,2,2,2,1
30203062027,2004,0,0,1,1
30203062032,2004,0,0,1,1
30203062035,2004,0,0,0,1
30203062041,2004,1,1,1,1
30203062044,2004,2,2,1,1
30203062046,2004,0,0,1,0
30203062047,2004,1,1,1,1
30203062058,2004,1,1,1,1
30203062077,2004,0,0,1,2
30203062080,2004,2,2,2,2
30203062085,2004,2,2,1,2
30203062087,2004,2,2,1,2
30203062088,2004,1,1,2,0
30203062090,2004,2,2,1,1
30203062102,2004,0,0,1,2
30203062107,2004,0,0,1,1
30203072014,2004,0,0,1,0
30203072016,2004,0,0,2,0
30203072018,2004,2,2,1,4
30203072021,2004,0,0,1,1
30203072026,2004,0,0,0,2
30203072034,2004,1,1,1,1
30203072041,2004,0,0,1,1
30203072064,2004,0,0,1,1
30203072066,2004,3,3,1,1
30203072071,2004,1,1,1,1
30203072080,2004,4,4,1,1
30203072081,2004,2,2,2,1
30203072083,2004,1,1,0,2
30203072091,2004,1,1,1,2
30203072107,2004,2,2,1,1
30203072136,2004,1,1,1,1
30203072138,2004,0,0,1,2
30203072140,2004,0,0,1,1
30203072141,2004,1,1,1,1
30203072142,2004,7,7,1,1
30204007021,2004,1,1,1,1
30204007030,2004,1,1,1,1
30204007035,2004,0,0,0,1
30204007044,2004,2,2,1,1
30204007058,2004,0,0,1,0
30204007099,2004,1,1,1,1
30204007121,2004,0,0,1,0
30204007132,2004,0,0,1,1
30204007142,2004,1,1,1,1
30204007152,2004,0,0,1,1
30204007170,2004,0,0,1,2
30204007179,2004,1,1,2,1
30204007200,2004,0,0,1,1
30204007206,2004,0,0,1,1
30204007215,2004,0,0,1,1
30204007224,2004,4,4,1,1
30204007279,2004,3,3,1,0
30204007285,2004,2,2,1,0
30204007297,2004,1,1,1,1
30204007304,2004,1,1,1,0
30205001009,2004,3,3,1,1
30205001016,2004,2,2,1,1
30205001045,2004,2,2,1,1
30205001076,2004,3,3,2,1
30205001079,2004,0,0,1,0
30205001085,2004,2,2,1,1
30205001122,2004,0,0,0,1
30205001143,2004,2,2,1,1
30205001146,2004,1,1,1,1
30205001153,2004,1,1,1,1
30205001158,2004,1,1,1,1
30205001202,2004,0,0,1,3
30205001211,2004,3,3,2,2
30205001216,2004,1,1,1,1
30205001236,2004,0,0,1,0
30205001272,2004,3,3,2,3
30205001282,2004,0,0,1,1
30205001301,2004,2,2,1,1
30205001315,2004,0,0,1,0
30205001362,2004,2,2,1,1
30205009006,2004,1,1,1,2
30205009013,2004,0,0,1,1
30205009015,2004,0,0,1,1
30205009018,2004,0,0,1,1
30205009030,2004,1,1,1,1
30205009065,2004,1,1,1,1
30205009115,2004,2,2,2,2
30205009124,2004,2,2,1,1
30205009184,2004,0,0,1,2
30205009192,2004,1,1,1,1
30205009197,2004,0,0,1,1
30205009212,2004,1,1,1,1
30205009219,2004,1,1,1,0
30205009226,2004,3,3,1,0
30205009233,2004,2,2,1,1
30205009241,2004,0,0,1,1
30205009274,2004,0,0,1,3
30205009291,2004,1,1,1,1
30205009297,2004,2,2,1,0
30205009317,2004,1,1,1,1
30206016007,2004,1,1,1,1
30206016016,2004,1,1,1,1
30206016020,2004,1,1,1,2
30206016041,2004,1,1,2,2
30206016050,2004,2,2,1,0
30206016061,2004,2,2,2,1
30206016086,2004,2,2,2,1
30206016113,2004,0,0,3,1
30206016126,2004,2,2,1,1
30206016127,2004,0,0,3,0
30206016140,2004,2,2,1,0
30206016143,2004,2,2,1,1
30206016178,2004,1,1,1,0
30206016219,2004,1,1,2,0
30206016225,2004,2,2,1,1
30206016235,2004,2,2,1,1
30206016245,2004,1,1,1,1
30206016284,2004,1,1,1,1
30206016293,2004,1,1,1,1
30206016315,2004,0,0,1,1
30207025002,2004,2,2,1,1
30207025011,2004,1,1,1,1
30207025031,2004,1,1,1,4
30207025038,2004,0,0,1,1
30207025066,2004,2,2,1,0
30207025074,2004,1,1,1,1
30207025077,2004,1,1,1,1
30207025110,2004,1,1,1,2
30207025119,2004,2,2,1,1
30207025124,2004,1,1,1,1
30207025137,2004,1,1,1,3
30207025145,2004,1,1,1,1
30207025159,2004,2,2,2,1
30207025161,2004,1,1,1,1
30207025163,2004,1,1,1,2
30207025166,2004,0,0,1,1
30207025200,2004,0,0,0,1
30207025207,2004,2,2,2,2
30207025215,2004,1,1,2,1
30207025258,2004,4,4,1,1
30207032001,2004,2,2,1,1
30207032007,2004,3,3,1,1
30207032013,2004,0,0,1,1
30207032020,2004,0,0,2,0
30207032041,2004,0,0,1,1
30207032045,2004,0,0,1,1
30207032050,2004,0,0,1,0
30207032061,2004,2,2,1,1
30207032086,2004,1,1,1,2
30207032107,2004,2,2,1,1
30207032113,2004,1,1,1,1
30207032117,2004,3,3,1,1
30207032126,2004,0,0,1,0
30207032127,2004,3,3,1,0
30207032139,2004,1,1,1,0
30207032140,2004,2,2,1,1
30207032171,2004,1,1,1,1
30207032178,2004,1,1,1,1
30207032181,2004,2,2,1,1
30207032219,2004,0,0,1,0
30207802003,2004,0,0,1,1
30207802029,2004,1,1,1,1
30207802030,2004,1,1,2,1
30207802046,2004,0,0,1,1
30207802071,2004,0,0,1,0
30207802075,2004,0,0,0,1
30207802077,2004,4,4,1,1
30207802080,2004,0,0,1,1
30207802135,2004,2,2,2,1
30207802139,2004,2,2,1,2
30207802167,2004,0,0,2,1
30207802197,2004,2,2,1,1
30207802201,2004,1,1,1,0
30207802204,2004,3,3,2,1
30207802217,2004,1,1,1,1
30207802224,2004,0,0,1,1
30207802228,2004,2,2,1,1
30207802234,2004,2,2,1,1
30207802242,2004,3,3,1,1
30207802245,2004,2,2,1,4
30209002023,2004,1,1,1,1
30209002026,2004,0,0,1,3
30209002037,2004,2,2,1,0
30209002058,2004,1,1,1,0
30209002060,2004,1,1,1,0
30209002069,2004,2,2,2,1
30209002077,2004,0,0,1,1
30209002089,2004,4,4,3,1
30209002112,2004,1,1,4,2
30209002157,2004,2,2,1,1
30209002177,2004,1,1,1,0
30209002179,2004,1,1,1,1
30209002214,2004,0,0,1,1
30209002215,2004,2,2,1,0
30209002237,2004,1,1,1,0
30209002240,2004,0,0,1,1
30209002241,2004,0,0,1,1
30209002245,2004,2,2,1,1
30209002252,2004,1,1,1,1
30209002262,2004,1,1,1,1
30209801029,2004,2,2,1,2
30209801037,2004,1,1,1,2
30209801123,2004,0,0,2,2
30209801153,2004,2,2,1,3
30209801168,2004,0,0,0,1
30209801174,2004,3,3,1,1
30209801192,2004,2,2,1,1
30209801195,2004,2,2,1,1
30209801206,2004,1,1,1,1
30209801217,2004,0,0,1,1
30209801242,2004,4,4,1,1
30209801262,2004,2,2,1,1
30209801332,2004,3,3,2,2
30209801337,2004,1,1,1,1
30209801348,2004,2,2,2,1
30209801367,2004,1,1,1,1
30209801377,2004,0,0,1,1
30209801415,2004,4,4,3,6
30209801439,2004,3,3,1,4
30209801460,2004,2,2,1,2
30210006009,2004,0,0,1,1
30210006031,2004,0,0,0,1
30210006035,2004,0,0,0,1
30210006036,2004,0,0,0,1
30210006040,2004,2,2,1,1
30210006050,2004,2,2,1,2
30210006052,2004,1,1,1,1
30210006061,2004,2,2,1,1
30210006062,2004,1,1,1,2
30210006080,2004,1,1,1,1
30210006092,2004,2,2,1,1
30210006097,2004,3,3,1,1
30210006098,2004,0,0,0,1
30210006099,2004,0,0,1,1
30210006108,2004,2,2,1,1
30210006116,2004,2,2,1,1
30210006121,2004,1,1,1,1
30210006124,2004,1,1,1,1
30210006126,2004,0,0,1,1
30210006130,2004,1,1,1,1
30210007008,2004,1,1,1,0
30210007024,2004,1,1,1,1
30210007044,2004,0,0,1,1
30210007063,2004,1,1,1,1
30210007107,2004,4,4,1,1
30210007112,2004,1,1,1,1
30210007122,2004,0,0,1,0
30210007142,2004,1,1,1,0
30210007170,2004,1,1,1,0
30210007179,2004,1,1,1,2
30210007189,2004,1,1,2,1
30210007193,2004,0,0,1,1
30210007212,2004,1,1,1,1
30210007225,2004,1,1,1,4
30210007236,2004,0,0,1,1
30210007261,2004,0,0,1,1
30210007279,2004,1,1,1,1
30210007368,2004,2,2,1,1
30210007372,2004,0,0,1,1
30210007407,2004,0,0,2,1
30210033001,2004,1,1,1,1
30210033006,2004,0,0,1,0
30210033041,2004,0,0,1,2
30210033044,2004,4,4,1,1
30210033067,2004,0,0,2,0
30210033077,2004,2,2,1,1
30210033084,2004,1,1,1,0
30210033085,2004,0,0,2,0
30210033089,2004,1,1,2,0
30210033127,2004,0,0,1,1
30210033159,2004,1,1,1,0
30210033160,2004,2,2,1,0
30210033170,2004,2,2,2,2
30210033207,2004,3,3,1,1
30210033234,2004,0,0,1,2
30210033322,2004,1,1,1,0
30210033323,2004,3,3,2,1
30210033326,2004,2,2,2,1
30210033377,2004,1,1,2,2
30210033395,2004,0,0,1,1
30301017014,2004,0,0,1,1
30301017034,2004,2,2,1,1
30301017047,2004,0,0,0,1
30301017087,2004,1,1,1,1
30301017100,2004,0,0,0,1
30301017117,2004,2,2,1,1
30301017120,2004,1,1,1,0
30301017139,2004,1,1,0,1
30301017166,2004,2,2,1,1
30301017182,2004,3,3,1,0
30301017210,2004,2,2,1,0
30301017226,2004,1,1,2,1
30301017228,2004,2,2,1,1
30301017252,2004,0,0,1,0
30301017256,2004,0,0,1,2
30301017261,2004,0,0,0,1
30301017273,2004,0,0,2,0
30301017298,2004,1,1,1,1
30301017302,2004,1,1,1,1
30301017309,2004,0,0,1,1
30301051019,2004,0,0,3,4
30301051059,2004,1,1,1,1
30301051069,2004,1,1,1,0
30301051074,2004,1,1,1,2
30301051078,2004,3,3,1,0
30301051101,2004,0,0,2,1
30301051159,2004,2,2,1,2
30301051171,2004,2,2,2,1
30301051180,2004,0,0,1,0
30301051181,2004,0,0,1,1
30301051188,2004,0,0,1,1
30301051218,2004,1,1,2,2
30301051221,2004,3,3,1,2
30301051228,2004,0,0,1,0
30301051249,2004,1,1,1,0
30301051265,2004,1,1,1,0
30301051272,2004,2,2,1,1
30301051283,2004,1,1,1,1
30301051293,2004,2,2,1,2
30301051321,2004,3,3,1,1
30301058001,2004,3,3,3,2
30301058010,2004,0,0,0,1
30301058034,2004,1,1,1,1
30301058040,2004,3,3,1,1
30301058046,2004,1,1,2,1
30301058048,2004,1,1,1,1
30301058056,2004,0,0,1,0
30301058060,2004,1,1,1,1
30301058069,2004,0,0,1,1
30301058074,2004,2,2,1,2
30301058079,2004,0,0,1,0
30301058080,2004,1,1,1,1
30301058086,2004,1,1,1,1
30301058126,2004,0,0,1,1
30301058127,2004,1,1,1,1
30301058128,2004,0,0,1,1
30301058155,2004,2,2,1,1
30301058191,2004,0,0,0,2
30301058205,2004,3,3,1,2
30301058206,2004,1,1,2,1
30302021011,2004,1,1,0,1
30302021033,2004,0,0,1,1
30302021046,2004,0,0,1,2
30302021053,2004,2,2,1,2
30302021062,2004,1,1,1,2
30302021081,2004,1,1,1,1
30302021085,2004,1,1,1,1
30302021111,2004,2,2,2,1
30302021118,2004,2,2,1,1
30302021135,2004,1,1,1,0
30302021144,2004,0,0,1,0
30302021146,2004,0,0,1,2
30302021151,2004,0,0,0,1
30302021171,2004,1,1,2,2
30302021207,2004,1,1,1,2
30302021237,2004,0,0,0,1
30302021240,2004,0,0,1,2
30302021257,2004,1,1,1,1
30302021268,2004,0,0,2,3
30302021291,2004,2,2,0,0
30302060019,2004,0,0,1,0
30302060032,2004,2,2,1,2
30302060033,2004,2,2,1,1
30302060043,2004,3,3,1,1
30302060051,2004,0,0,0,1
30302060059,2004,1,1,1,1
30302060065,2004,3,3,1,0
30302060079,2004,0,0,1,1
30302060084,2004,0,0,1,1
30302060151,2004,0,0,1,1
30302060156,2004,0,0,1,0
30302060160,2004,0,0,1,2
30302060196,2004,0,0,1,0
30302060202,2004,1,1,1,1
30302060209,2004,0,0,1,1
30302060214,2004,1,1,1,1
30302060249,2004,1,1,1,0
30302060268,2004,1,1,1,1
30302060269,2004,1,1,1,1
30302060293,2004,1,1,1,1
30302063001,2004,1,1,1,2
30302063004,2004,0,0,1,1
30302063011,2004,0,0,1,1
30302063015,2004,2,2,1,0
30302063018,2004,0,0,1,1
30302063025,2004,4,4,1,0
30302063047,2004,0,0,1,1
30302063054,2004,0,0,1,1
30302063062,2004,1,1,1,1
30302063065,2004,0,0,1,0
30302063075,2004,1,1,1,1
30302063077,2004,1,1,1,1
30302063078,2004,1,1,1,0
30302063104,2004,0,0,1,0
30302063119,2004,0,0,1,1
30302063126,2004,2,2,1,1
30302063165,2004,1,1,1,1
30302063184,2004,0,0,1,1
30302063231,2004,4,4,1,1
30302063233,2004,0,0,1,1
30304029012,2004,2,2,2,0
30304029028,2004,1,1,1,3
30304029029,2004,1,1,1,6
30304029032,2004,2,2,1,1
30304029041,2004,1,1,1,3
30304029052,2004,3,3,1,1
30304029054,2004,2,2,1,0
30304029060,2004,1,1,1,1
30304029092,2004,0,0,2,0
30304029096,2004,0,0,1,1
30304029100,2004,1,1,1,2
30304029109,2004,0,0,0,1
30304029121,2004,2,2,1,1
30304029147,2004,0,0,1,1
30304029149,2004,0,0,1,1
30304029165,2004,0,0,2,0
30304029171,2004,1,1,1,0
30304029213,2004,1,1,1,1
30304029223,2004,1,1,1,1
30304029240,2004,0,0,1,0
30304048001,2004,0,0,1,0
30304048009,2004,0,0,1,1
30304048012,2004,0,0,1,1
30304048013,2004,0,0,1,0
30304048022,2004,0,0,2,0
30304048030,2004,2,2,1,0
30304048043,2004,1,1,1,0
30304048061,2004,2,2,1,1
30304048067,2004,2,2,2,1
30304048125,2004,0,0,1,0
30304048127,2004,0,0,1,0
30304048156,2004,0,0,1,0
30304048184,2004,1,1,1,1
30304048192,2004,1,1,1,1
30304048211,2004,1,1,1,1
30304048214,2004,1,1,1,1
30304048217,2004,1,1,1,0
30304048225,2004,0,0,1,1
30304048227,2004,2,2,1,1
30304048242,2004,0,0,1,1
30305013010,2004,0,0,1,1
30305013018,2004,3,3,1,1
30305013032,2004,0,0,1,0
30305013033,2004,4,4,1,2
30305013036,2004,2,2,1,2
30305013037,2004,0,0,1,1
30305013047,2004,0,0,1,1
30305013061,2004,0,0,1,1
30305013096,2004,3,3,1,2
30305013143,2004,1,1,1,1
30305013176,2004,1,1,1,2
30305013204,2004,1,1,1,1
30305013217,2004,0,0,1,1
30305013250,2004,0,0,1,1
30305013261,2004,1,1,1,1
30305013274,2004,1,1,1,1
30305013284,2004,0,0,1,0
30305013289,2004,0,0,1,1
30305013309,2004,1,1,1,1
30305013316,2004,4,4,1,2
30305017006,2004,2,2,1,1
30305017012,2004,0,0,1,1
30305017026,2004,4,4,2,0
30305017044,2004,4,4,2,2
30305017067,2004,0,0,0,1
30305017071,2004,0,0,1,1
30305017072,2004,0,0,1,1
30305017073,2004,0,0,1,1
30305017099,2004,0,0,1,1
30305017100,2004,0,0,1,1
30305017121,2004,0,0,1,1
30305017127,2004,0,0,0,2
30305017138,2004,0,0,1,1
30305017139,2004,0,0,1,0
30305017152,2004,0,0,0,1
30305017216,2004,1,1,1,1
30305017234,2004,0,0,1,0
30305017240,2004,2,2,1,1
30305017245,2004,2,2,1,1
30305017264,2004,1,1,1,1
30305028011,2004,1,1,1,1
30305028048,2004,1,1,1,1
30305028076,2004,0,0,1,0
30305028078,2004,0,0,1,0
30305028165,2004,1,1,1,1
30305028172,2004,1,1,1,0
30305028197,2004,2,2,1,1
30305028202,2004,2,2,1,1
30305028212,2004,0,0,1,1
30305028240,2004,2,2,1,1
30305028268,2004,0,0,1,1
30305028285,2004,1,1,1,1
30305028310,2004,0,0,1,1
30305028311,2004,0,0,1,1
30305028315,2004,2,2,1,1
30305028328,2004,0,0,0,2
30305028331,2004,3,3,1,1
30305028338,2004,0,0,1,0
30305028349,2004,0,0,1,1
30305028377,2004,1,1,1,3
30305035018,2004,1,1,2,1
30305035041,2004,1,1,1,1
30305035048,2004,1,1,1,1
30305035062,2004,0,0,1,1
30305035085,2004,3,3,1,1
30305035114,2004,0,0,1,1
30305035124,2004,0,0,1,1
30305035151,2004,1,1,1,1
30305035181,2004,0,0,1,1
30305035199,2004,1,1,1,1
30305035222,2004,0,0,1,1
30305035224,2004,2,2,1,1
30305035234,2004,0,0,1,0
30305035301,2004,0,0,1,0
30305035303,2004,0,0,1,0
30305035306,2004,0,0,1,0
30305035313,2004,3,3,2,0
30305035322,2004,2,2,1,1
30305035330,2004,1,1,1,1
30305035343,2004,1,1,1,1
30305090024,2004,2,2,1,1
30305090030,2004,2,2,1,1
30305090039,2004,0,0,1,1
30305090044,2004,0,0,1,1
30305090060,2004,2,2,2,1
30305090064,2004,0,0,1,1
30305090097,2004,0,0,0,1
30305090104,2004,0,0,1,0
30305090108,2004,2,2,1,0
30305090115,2004,0,0,1,1
30305090127,2004,0,0,2,0
30305090145,2004,1,1,1,1
30305090148,2004,0,0,2,0
30305090160,2004,0,0,1,1
30305090179,2004,0,0,1,1
30305090203,2004,2,2,1,1
30305090215,2004,0,0,0,3
30305090237,2004,0,0,1,1
30305090238,2004,1,1,1,1
30305090241,2004,1,1,1,2
30305815002,2004,0,0,1,0
30305815011,2004,0,0,0,1
30305815018,2004,0,0,1,1
30305815052,2004,0,0,1,2
30305815054,2004,0,0,1,1
30305815058,2004,0,0,1,1
30305815064,2004,2,2,1,0
30305815100,2004,1,1,1,1
30305815109,2004,0,0,1,0
30305815125,2004,0,0,1,0
30305815139,2004,3,3,1,1
30305815140,2004,0,0,1,4
30305815145,2004,0,0,1,1
30305815163,2004,0,0,1,1
30305815197,2004,1,1,1,1
30305815198,2004,2,2,1,1
30305815205,2004,1,1,1,1
30305815210,2004,0,0,0,1
30305815230,2004,1,1,1,1
30305815248,2004,0,0,1,1
30306011007,2004,1,1,2,0
30306011017,2004,2,2,1,1
30306011018,2004,1,1,1,1
30306011034,2004,1,1,1,1
30306011043,2004,1,1,1,1
30306011059,2004,3,3,2,1
30306011068,2004,1,1,1,0
30306011075,2004,0,0,1,2
30306011080,2004,4,4,2,1
30306011116,2004,1,1,1,1
30306011124,2004,1,1,1,1
30306011145,2004,1,1,3,1
30306011147,2004,2,2,2,1
30306011148,2004,1,1,1,1
30306011151,2004,1,1,1,1
30306011155,2004,5,5,1,1
30306011156,2004,2,2,2,1
30306011186,2004,0,0,3,1
30306011197,2004,0,0,1,0
30306011200,2004,2,2,1,0
30306023011,2004,0,0,1,1
30306023020,2004,2,2,1,1
30306023027,2004,1,1,1,0
30306023037,2004,0,0,1,0
30306023063,2004,1,1,1,0
30306023064,2004,3,3,1,1
30306023067,2004,0,0,2,0
30306023072,2004,0,0,1,1
30306023073,2004,0,0,1,3
30306023108,2004,2,2,1,0
30306023116,2004,2,2,1,1
30306023130,2004,1,1,1,1
30306023156,2004,1,1,2,1
30306023164,2004,1,1,1,1
30306023171,2004,3,3,2,1
30306023177,2004,0,0,1,1
30306023178,2004,2,2,1,1
30306023194,2004,2,2,1,2
30306023205,2004,2,2,1,1
30306023211,2004,1,1,1,1
30306041010,2004,1,1,1,0
30306041040,2004,2,2,1,1
30306041050,2004,3,3,1,1
30306041056,2004,0,0,4,2
30306041078,2004,2,2,2,1
30306041103,2004,0,0,2,1
30306041128,2004,0,0,1,0
30306041138,2004,1,1,2,0
30306041140,2004,1,1,1,1
30306041163,2004,1,1,2,1
30306041172,2004,1,1,2,1
30306041180,2004,0,0,0,1
30306041192,2004,0,0,2,1
30306041203,2004,3,3,2,0
30306041206,2004,1,1,2,0
30306041211,2004,2,2,1,1
30306041214,2004,0,0,1,1
30306041275,2004,0,0,1,0
30306041291,2004,1,1,1,0
30306041293,2004,2,2,1,1
30306046018,2004,2,2,2,0
30306046036,2004,1,1,1,1
30306046064,2004,1,1,1,1
30306046069,2004,0,0,1,0
30306046074,2004,1,1,1,2
30306046092,2004,3,3,1,1
30306046119,2004,1,1,1,1
30306046120,2004,2,2,1,1
30306046131,2004,0,0,1,0
30306046165,2004,0,0,1,1
30306046207,2004,2,2,2,1
30306046209,2004,2,2,2,1
30306046236,2004,0,0,1,2
30306046296,2004,0,0,1,0
30306046299,2004,1,1,3,0
30306046327,2004,0,0,0,1
30306046334,2004,0,0,1,1
30306046344,2004,1,1,1,2
30306046351,2004,1,1,1,1
30306046357,2004,2,2,2,2
30306047008,2004,0,0,1,1
30306047017,2004,0,0,1,1
30306047019,2004,3,3,1,0
30306047035,2004,0,0,0,1
30306047040,2004,1,1,1,1
30306047043,2004,0,0,1,1
30306047044,2004,0,0,1,0
30306047050,2004,1,1,1,1
30306047053,2004,0,0,1,1
30306047060,2004,1,1,1,1
30306047073,2004,1,1,1,1
30306047080,2004,0,0,2,1
30306047093,2004,3,3,1,2
30306047097,2004,0,0,1,1
30306047099,2004,1,1,1,1
30306047105,2004,1,1,1,0
30306047111,2004,1,1,1,1
30306047116,2004,3,3,1,1
30306047121,2004,3,3,1,4
30306047125,2004,3,3,2,3
30306049027,2004,0,0,1,1
30306049034,2004,1,1,1,1
30306049038,2004,1,1,1,1
30306049069,2004,1,1,1,0
30306049080,2004,0,0,0,1
30306049085,2004,1,1,1,1
30306049088,2004,1,1,1,1
30306049094,2004,1,1,1,1
30306049097,2004,1,1,1,1
30306049113,2004,0,0,1,1
30306049123,2004,1,1,1,1
30306049131,2004,2,2,1,1
30306049144,2004,1,1,3,1
30306049161,2004,6,6,2,0
30306049177,2004,0,0,1,1
30306049189,2004,3,3,1,1
30306049191,2004,1,1,1,0
30306049198,2004,1,1,1,3
30306049199,2004,1,1,1,1
30306049205,2004,0,0,2,0
30306063012,2004,2,2,1,1
30306063021,2004,0,0,3,0
30306063025,2004,2,2,2,1
30306063027,2004,2,2,1,1
30306063029,2004,1,1,2,1
30306063033,2004,3,3,4,0
30306063036,2004,0,0,2,1
30306063053,2004,1,1,2,4
30306063068,2004,2,2,2,1
30306063069,2004,0,0,2,1
30306063080,2004,0,0,1,0
30306063102,2004,1,1,1,1
30306063106,2004,2,2,1,4
30306063123,2004,0,0,2,1
30306063144,2004,3,3,1,0
30306063171,2004,2,2,1,1
30306063215,2004,2,2,1,1
30306063230,2004,0,0,1,1
30306063243,2004,1,1,1,1
30306063266,2004,2,2,1,1
30306067003,2004,1,1,1,1
30306067016,2004,0,0,1,1
30306067019,2004,0,0,1,1
30306067029,2004,5,5,2,2
30306067034,2004,0,0,0,3
30306067054,2004,2,2,1,1
30306067058,2004,2,2,1,1
30306067079,2004,0,0,1,1
30306067080,2004,0,0,0,1
30306067087,2004,2,2,1,2
30306067122,2004,0,0,1,1
30306067125,2004,0,0,1,1
30306067130,2004,0,0,1,1
30306067140,2004,2,2,3,0
30306067145,2004,2,2,3,2
30306067148,2004,1,1,1,1
30306067175,2004,1,1,1,1
30306067177,2004,0,0,2,0
30306067195,2004,0,0,1,1
30306067213,2004,2,2,4,1
30306069026,2004,3,3,1,0
30306069031,2004,1,1,3,1
30306069034,2004,3,3,1,0
30306069039,2004,5,5,3,3
30306069051,2004,1,1,1,0
30306069071,2004,0,0,2,1
30306069095,2004,3,3,1,1
30306069103,2004,1,1,2,0
30306069123,2004,3,3,2,1
30306069131,2004,0,0,1,3
30306069150,2004,1,1,2,1
30306069165,2004,1,1,0,2
30306069175,2004,2,2,2,2
30306069184,2004,1,1,1,0
30306069188,2004,0,0,0,1
30306069198,2004,2,2,1,1
30306069208,2004,1,1,1,1
30306069217,2004,1,1,1,1
30306069220,2004,3,3,1,1
30306069267,2004,1,1,1,1
30306113001,2004,2,2,6,1
30306113032,2004,1,1,1,1
30306113046,2004,2,2,1,1
30306113068,2004,5,5,2,2
30306113076,2004,2,2,1,1
30306113079,2004,0,0,1,1
30306113089,2004,2,2,1,1
30306113091,2004,0,0,0,1
30306113096,2004,1,1,2,1
30306113099,2004,0,0,2,1
30306113106,2004,4,4,3,2
30306113110,2004,1,1,2,2
30306113127,2004,0,0,0,1
30306113135,2004,3,3,4,11
30306113149,2004,0,0,3,1
30306113150,2004,2,2,1,3
30306113157,2004,0,0,1,2
30306113158,2004,3,3,4,0
30306113173,2004,2,2,1,3
30306113186,2004,0,0,1,1
30332002003,2004,0,0,1,1
30332002006,2004,2,2,1,1
30332002008,2004,0,0,1,0
30332002017,2004,2,2,1,2
30332002020,2004,3,3,1,1
30332002025,2004,1,1,1,1
30332002026,2004,1,1,1,1
30332002034,2004,0,0,1,1
30332002036,2004,1,1,1,1
30332002051,2004,1,1,1,0
30332002059,2004,0,0,0,1
30332002063,2004,1,1,1,1
30332002073,2004,0,0,1,2
30332002079,2004,0,0,1,1
30332002091,2004,0,0,1,2
30332002095,2004,0,0,0,1
30332002106,2004,3,3,1,2
30332002117,2004,0,0,1,3
30332002120,2004,0,0,0,1
30332002153,2004,1,1,1,1
30334003020,2004,1,1,2,3
30334003044,2004,0,0,1,1
30334003045,2004,2,2,1,1
30334003054,2004,1,1,2,1
30334003070,2004,1,1,1,1
30334003086,2004,0,0,1,1
30334003102,2004,1,1,0,1
30334003104,2004,2,2,1,0
30334003108,2004,1,1,2,1
30334003117,2004,0,0,1,2
30334003174,2004,2,2,1,2
30334003178,2004,1,1,3,4
30334003201,2004,0,0,1,1
30334003228,2004,0,0,0,2
30334003234,2004,0,0,0,2
30334003237,2004,0,0,1,1
30334003245,2004,0,0,1,1
30334003298,2004,1,1,1,1
30334003314,2004,0,0,1,1
30334003336,2004,0,0,0,1
30335003008,2004,0,0,1,1
30335003036,2004,1,1,1,0
30335003047,2004,0,0,1,1
30335003086,2004,2,2,2,1
30335003133,2004,1,1,1,1
30335003153,2004,0,0,1,0
30335003155,2004,2,2,1,2
30335003156,2004,1,1,3,2
30335003202,2004,1,1,2,1
30335003206,2004,0,0,1,1
30335003226,2004,2,2,3,2
30335003236,2004,0,0,2,0
30335003243,2004,2,2,1,0
30335003265,2004,0,0,1,3
30335003284,2004,1,1,1,3
30335003286,2004,3,3,1,3
30335003297,2004,2,2,3,0
30335003318,2004,2,2,1,3
30335003345,2004,2,2,1,1
30335003353,2004,0,0,1,1
30335006006,2004,2,2,1,1
30335006018,2004,0,0,2,0
30335006055,2004,1,1,1,1
30335006093,2004,2,2,1,1
30335006097,2004,0,0,1,1
30335006139,2004,2,2,1,1
30335006163,2004,1,1,1,1
30335006169,2004,1,1,1,1
30335006176,2004,1,1,1,4
30335006187,2004,0,0,1,1
30335006199,2004,2,2,1,1
30335006213,2004,1,1,1,1
30335006219,2004,0,0,0,2
30335006233,2004,1,1,1,0
30335006238,2004,3,3,1,4
30335006242,2004,2,2,1,1
30335006259,2004,0,0,1,1
30335006323,2004,0,0,1,1
30335006328,2004,1,1,1,1
30335006345,2004,1,1,1,1
30336001012,2004,0,0,1,1
30336001057,2004,0,0,1,0
30336001182,2004,0,0,1,1
30336001196,2004,2,2,1,1
30336001219,2004,3,3,1,1
30336001239,2004,2,2,1,1
30336001304,2004,0,0,1,2
30336001332,2004,1,1,1,1
30336001352,2004,2,2,0,1
30336001363,2004,1,1,1,1
30336001404,2004,1,1,1,1
30336001407,2004,1,1,2,1
30336001433,2004,0,0,0,1
30336001452,2004,0,0,2,0
30336001467,2004,1,1,1,1
30336001478,2004,0,0,0,1
30336001527,2004,0,0,1,0
30336001556,2004,1,1,2,2
30336001559,2004,0,0,1,1
30336001579,2004,0,0,0,1
30336002045,2004,0,0,2,2
30336002061,2004,0,0,2,2
30336002075,2004,2,2,1,2
30336002093,2004,1,1,3,3
30336002095,2004,2,2,1,3
30336002135,2004,0,0,1,1
30336002152,2004,0,0,0,1
30336002153,2004,1,1,1,1
30336002217,2004,1,1,1,2
30336002223,2004,2,2,1,1
30336002237,2004,0,0,2,4
